Item Type,Brand,Age (Years),Condition,Weight (kg),Material Composition,Battery Included,Visible Damage,Screen Condition,Rust Presence,Wiring Condition,Resale Potential,Scrap Price (₹),Estimated Repair Cost (₹),Final Amount Paid (₹)
Mobile,Oppo,1,Scrap,31.2,"Glass, Plastic, Metal",Yes,Yes,Cracked,No,N/A,Medium,2432.95,0,2432.95
TV,LG,15,Partially Working,42.4,Metal,No,No,Minor Scratches,No,Damaged Wires,High,7095.55,3543,3552.55
TV,Panasonic,7,Working,58.5,"Glass, Plastic, Metal",No,No,Cracked,No,Slightly Worn,Medium,5389.52,0,5389.52
Printer,Canon,14,Partially Working,55.1,"Metal, Plastic",No,No,N/A,Yes,Intact,Medium,4937.03,3124,1813.0299999999997
TV,Sony,11,Non-Working,51.0,Plastic,No,No,Minor Scratches,No,Intact,Low,6018.33,3196,2822.33
Refrigerator,Whirlpool,15,Partially Working,50.6,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Low,10483.13,1702,8781.13
Refrigerator,Samsung,2,Working,53.2,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Medium,11094.73,0,11094.73
Refrigerator,Godrej,14,Working,9.8,Plastic,No,Yes,N/A,No,N/A,Medium,2646.61,0,2646.61
TV,Sony,6,Scrap,51.0,"Metal, Plastic",No,Yes,No Damage,No,Damaged Wires,High,13693.39,0,13693.39
Laptop,Lenovo,15,Non-Working,32.2,"Plastic, Glass",Yes,No,Cracked,No,Slightly Worn,High,7900.11,3094,4806.11
Microwave,Samsung,7,Scrap,16.8,Plastic,No,Yes,N/A,No,N/A,High,3330.17,0,3330.17
TV,LG,14,Scrap,18.7,"Glass, Plastic, Metal",No,Yes,Minor Scratches,No,Intact,High,4844.54,0,4844.54
Laptop,Apple,3,Working,17.4,"Glass, Plastic, Metal",Yes,No,No Damage,No,Slightly Worn,Medium,2765.61,0,2765.61
Mobile,Vivo,11,Scrap,44.4,Plastic,Yes,No,No Damage,No,N/A,High,7978.89,0,7978.89
Printer,HP,12,Scrap,18.1,Plastic,No,Yes,N/A,No,Intact,High,2398.51,0,2398.51
Washing Machine,LG,11,Non-Working,47.8,"Metal, Plastic",No,No,N/A,Yes,N/A,Medium,2488.7,1178,1310.6999999999998
Microwave,LG,2,Partially Working,34.1,Plastic,No,No,N/A,No,N/A,High,9466.99,2206,7260.99
Refrigerator,Godrej,13,Scrap,8.6,"Plastic, Glass",No,Yes,N/A,No,N/A,High,2420.0,0,2420.0
AC,Hitachi,15,Partially Working,6.7,Plastic,No,Yes,N/A,No,Intact,Medium,1329.92,2102,0.0
Microwave,LG,3,Scrap,21.9,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Low,5650.4,0,5650.4
TV,Panasonic,5,Non-Working,32.7,"Glass, Plastic, Metal",No,No,Minor Scratches,Yes,Damaged Wires,Medium,2164.64,354,1810.6399999999999
Printer,HP,2,Working,23.2,Plastic,No,No,N/A,No,Damaged Wires,Low,1501.38,0,1501.38
Washing Machine,Samsung,7,Scrap,10.9,Metal,No,No,N/A,No,N/A,High,2659.92,0,2659.92
Refrigerator,Whirlpool,3,Partially Working,39.9,"Metal, Plastic",No,No,N/A,No,N/A,Medium,11882.16,3514,8368.16
AC,Hitachi,12,Non-Working,12.1,"Metal, Plastic",No,No,N/A,Yes,Damaged Wires,Low,997.0,697,300.0
Mobile,OnePlus,5,Partially Working,32.1,Plastic,No,No,Minor Scratches,No,N/A,Medium,7449.53,2550,4899.53
Washing Machine,Samsung,9,Partially Working,8.9,Metal,No,No,N/A,Yes,N/A,High,1741.22,2334,0.0
Laptop,Apple,15,Non-Working,33.8,"Glass, Plastic, Metal",Yes,Yes,Cracked,Yes,Damaged Wires,High,9554.49,2651,6903.49
Washing Machine,Bosch,15,Non-Working,47.9,Metal,No,No,N/A,No,N/A,High,7323.05,551,6772.05
AC,Daikin,9,Working,52.0,"Plastic, Glass",No,No,N/A,No,Slightly Worn,Low,4550.65,0,4550.65
Laptop,Acer,12,Working,29.5,"Glass, Plastic, Metal",Yes,No,No Damage,Yes,Damaged Wires,High,2103.11,0,2103.11
Refrigerator,Samsung,9,Working,52.4,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Low,13198.14,0,13198.14
Refrigerator,Godrej,11,Scrap,52.3,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Low,10672.88,0,10672.88
Washing Machine,LG,1,Working,33.8,"Plastic, Glass",No,No,N/A,No,N/A,Low,6756.62,0,6756.62
Refrigerator,Samsung,12,Non-Working,58.1,Plastic,No,Yes,N/A,No,N/A,Medium,9127.86,1131,7996.860000000001
TV,LG,6,Scrap,33.1,"Plastic, Glass",No,No,No Damage,No,Damaged Wires,High,9475.99,0,9475.99
Mobile,Vivo,11,Working,57.2,Metal,Yes,No,Minor Scratches,No,N/A,High,6169.2,0,6169.2
